, Salary Pack ," 30,000.00 ",,,,,,,,,,,,,,,,,,,,
, Gross Salary ," 30,000.00 "," 2,500.00 ",, -   ,,,,,,,,,,,,,,,,,
, Yearly non tax ,, -   ,, -   ,,,,,,,,,,,,,,,,,
, Yearrly taxable ,, -   ,,,,,,,,,,,,,,,,,,,
, Bonus , -   ,,,,,,,,,,,,,,,,,,,,
, BD ,17/08/1991,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Month, Basic Salary , tax benefit , non tax benefit , Bonus , Government Bonus , Gross total , week of month , SSC Base , SSC Category , SSC Tax , Income Base , Kumulative Income Base , Kumulative tax payment , Relevant month , Income Tax , Net ,,,,,,
Jan," 2,500.00 ", -   , -   ,,," 2,500.00 ", 4.00 ," 2,237.24 ", C , 223.72 ," 2,500.00 "," 2,500.00 ", 341.67 , 1.00 , 342 ," 1,934.61 ",,,,,,
Feb," 2,500.00 ", -   , -   ,,," 2,500.00 ", 4.00 ," 2,237.24 ", C , 223.72 ," 2,500.00 "," 5,000.00 ", 683.33 , 2.00 , 342 ," 1,934.61 ",,, Insurance of Rafi ,,,
Mar," 2,500.00 ", -   , -   ,, 121.16 ," 2,621.16 ", 5.00 ," 2,796.55 ", C , 279.65 ," 2,621.16 "," 7,621.16 "," 1,055.29 ", 3.00 , 372 ," 1,969.55 ",,,,,,
Apr," 2,500.00 ", -   , -   ,,," 2,500.00 ", 4.00 ," 2,237.24 ", C , 223.72 ," 2,500.00 "," 10,121.16 "," 1,396.96 ", 4.00 , 342 ," 1,934.61 ",,,,,,
May," 2,500.00 ", -   , -   ,,," 2,500.00 ", 4.00 ," 2,237.24 ", C , 223.72 ," 2,500.00 "," 12,621.16 "," 1,738.62 ", 5.00 , 342 ," 1,934.61 ",,,,,,
Jun," 2,500.00 ", -   , -   ,, 135.10 ," 2,635.10 ", 5.00 ," 2,796.55 ", C , 279.65 ," 2,635.10 "," 15,256.26 "," 2,114.07 ", 6.00 , 375 ," 1,980.01 ",,,,,,
Jul," 2,500.00 ", -   , -   ,,," 2,500.00 ", 4.00 ," 2,237.24 ", C , 223.72 ," 2,500.00 "," 17,756.26 "," 2,455.73 ", 7.00 , 342 ," 1,934.61 ",,,,,,
Aug," 2,500.00 ", -   , -   ,,," 2,500.00 ", 5.00 ," 2,796.55 ", C , 279.65 ," 2,500.00 "," 20,256.26 "," 2,797.40 ", 8.00 , 342 ," 1,878.68 ",,,,,,
Sep," 2,500.00 ", -   , -   ,, 121.16 ," 2,621.16 ", 4.00 ," 2,237.24 ", C , 223.72 ," 2,621.16 "," 22,877.42 "," 3,169.36 ", 9.00 , 372 ," 2,025.48 ",,,,,,
Oct," 2,500.00 ", -   , -   ,,," 2,500.00 ", 4.00 ," 2,237.24 ", C , 223.72 ," 2,500.00 "," 25,377.42 "," 3,511.02 ", 10.00 , 342 ," 1,934.61 ",,,,,,
Nov," 2,500.00 ", -   , -   ,,," 2,500.00 ", 5.00 ," 2,796.55 ", C , 279.65 ," 2,500.00 "," 27,877.42 "," 3,852.69 ", 11.00 , 342 ," 1,878.68 ",,,,,,
Dec," 2,500.00 ", -   , -   ,, 135.10 ," 2,635.10 ", 4.00 ," 2,237.24 ", C , 223.72 ," 2,635.10 "," 30,512.52 "," 4,228.13 ", 12.00 , 375 ," 2,035.94 ",,,,,,
,,,,,,,,,,,,,,,," 23,376.03 ",,,,,,
,,,,,,, 52.00 ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
